epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5929.5,1.24725,1.48034,0.01307,0.807,0.84563,0.8776,0.6077,1.13752,1.13573,0.01129,0.0285469,0.00951563,0.0285469,0.00951563,0.0285469,0.00951563,0.0285469,0.00951563
31,1177.2,1.18323,1.35679,0.01229,0.83277,0.85281,0.89932,0.62351,1.12096,1.11052,0.01087,0.0284468,0.00948228,0.0284468,0.00948228,0.0284468,0.00948228,0.0284468,0.00948228
32,2000.15,1.1806,1.33651,0.01218,0.82878,0.83163,0.88265,0.61758,1.13016,1.12061,0.01118,0.0283437,0.00944789,0.0283437,0.00944789,0.0283437,0.00944789,0.0283437,0.00944789
33,2692.83,1.1671,1.30507,0.01206,0.86124,0.84174,0.90229,0.62825,1.13213,1.08287,0.01084,0.0282374,0.00941246,0.0282374,0.00941246,0.0282374,0.00941246,0.0282374,0.00941246
34,3432.23,1.17461,1.31891,0.01203,0.86325,0.82577,0.90341,0.62634,1.12841,1.12241,0.0113,0.028128,0.009376,0.028128,0.009376,0.028128,0.009376,0.028128,0.009376
35,4075.82,1.19359,1.352,0.01231,0.85584,0.83667,0.90508,0.63782,1.11817,1.09299,0.01097,0.0280156,0.00933852,0.0280156,0.00933852,0.0280156,0.00933852,0.0280156,0.00933852
36,4985.82,1.18737,1.35315,0.01224,0.86683,0.85336,0.91512,0.65037,1.08688,1.03666,0.01063,0.0279001,0.00930004,0.0279001,0.00930004,0.0279001,0.00930004,0.0279001,0.00930004
37,695.391,1.11721,1.21524,0.01147,0.87464,0.83512,0.91158,0.6487,1.08324,1.03322,0.01045,0.0277817,0.00926056,0.0277817,0.00926056,0.0277817,0.00926056,0.0277817,0.00926056
38,1299.17,1.12069,1.21699,0.0114,0.86948,0.84057,0.91439,0.65787,1.06796,1.02633,0.01036,0.0276603,0.00922008,0.0276603,0.00922008,0.0276603,0.00922008,0.0276603,0.00922008
39,2128.66,1.1038,1.1896,0.01136,0.87867,0.84629,0.92143,0.65522,1.06615,1.01005,0.0103,0.0275359,0.00917863,0.0275359,0.00917863,0.0275359,0.00917863,0.0275359,0.00917863
40,2780.85,1.11748,1.19153,0.01135,0.88907,0.83694,0.90807,0.65566,1.05704,1.00259,0.01041,0.0274086,0.00913621,0.0274086,0.00913621,0.0274086,0.00913621,0.0274086,0.00913621
41,3798.62,1.12323,1.21045,0.01149,0.85145,0.86471,0.92473,0.66643,1.04877,1.01596,0.01017,0.0272785,0.00909283,0.0272785,0.00909283,0.0272785,0.00909283,0.0272785,0.00909283
42,836.049,1.05284,1.12029,0.01068,0.86714,0.86752,0.92261,0.67701,1.0314,1.00017,0.01004,0.0271455,0.0090485,0.0271455,0.0090485,0.0271455,0.0090485,0.0271455,0.0090485
43,1689.85,1.05843,1.11482,0.01068,0.884,0.8379,0.9112,0.66992,1.0281,1.00081,0.00985,0.0270097,0.00900324,0.0270097,0.00900324,0.0270097,0.00900324,0.0270097,0.00900324
44,2549.6,1.04405,1.10287,0.01062,0.89866,0.84957,0.92196,0.67696,1.03619,0.96448,0.0099,0.0268711,0.00895704,0.0268711,0.00895704,0.0268711,0.00895704,0.0268711,0.00895704
45,3406.63,1.05547,1.10368,0.01068,0.87018,0.86339,0.92368,0.68347,1.0245,0.95626,0.0101,0.0267298,0.00890994,0.0267298,0.00890994,0.0267298,0.00890994,0.0267298,0.00890994
46,4270.14,1.0743,1.12466,0.01088,0.86743,0.8697,0.92352,0.68182,1.02926,0.95138,0.00998,0.0265858,0.00886193,0.0265858,0.00886193,0.0265858,0.00886193,0.0265858,0.00886193
